test_id	ncbi_gene_link	gene_symbol	gene_id	gene_desc	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	linear_fold_change	"diff_exp
Gm13889	Gm13889	Gm13889	620695	predicted gene 13889	chr2:93955809-93957100	pomc	nonpomc	OK	4.916	35.974	2.871	14.932	5.00E-05	8.69E-05	yes	7.318	Yes
4930524B15Rik	4930524B15Rik	4930524B15Rik	67592	RIKEN cDNA 4930524B15 gene	chr11:31965632-31979651	pomc	nonpomc	OK	0.093	0.679	2.868	2.627	5.50E-04	8.83E-04	yes	7.302	Yes
B9d2	B9d2	B9d2	232987	B9 protein domain 2	chr7:25681157-25686558	pomc	nonpomc	OK	4.475	32.599	2.865	9.869	5.00E-05	8.69E-05	yes	7.284	Yes
2610002J02Rik	2610002J02Rik	2610002J02Rik	.	.	chr4:155249965-155256687	pomc	nonpomc	OK	5.778	41.924	2.859	11.328	5.00E-05	8.69E-05	yes	7.256	Yes
Trappc1	Trappc1	Trappc1	245828	trafficking protein particle complex 1	chr11:69323985-69325793	pomc	nonpomc	OK	10.506	76.010	2.855	10.582	5.00E-05	8.69E-05	yes	7.235	Yes
Psmb10	Psmb10	Psmb10	19171	"proteasome (prosome, macropain) subunit, beta type 10"	chr8:105935727-105938392	pomc	nonpomc	OK	7.223	52.122	2.851	12.269	5.00E-05	8.69E-05	yes	7.216	Yes
Phlda3	Phlda3	Phlda3	27280	"pleckstrin homology like domain, family A, member 3"	chr1:135766084-135769134	pomc	nonpomc	OK	10.899	78.432	2.847	15.283	5.00E-05	8.69E-05	yes	7.196	Yes
2010107H07Rik	2010107H07Rik	2010107H07Rik	.	.	chr14:31124504-31128930	pomc	nonpomc	OK	5.048	36.315	2.847	6.944	5.00E-05	8.69E-05	yes	7.193	Yes
6720456B07Rik	6720456B07Rik	6720456B07Rik	.	.	chr6:113604771-113616951	pomc	nonpomc	OK	23.219	166.877	2.845	13.736	5.00E-05	8.69E-05	yes	7.187	Yes
Ndufa7	Ndufa7	Ndufa7	66416	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)"	chr17:33824613-33838313	pomc	nonpomc	OK	42.960	308.432	2.844	13.198	5.00E-05	8.69E-05	yes	7.180	Yes
Gm10653	Gm10653	Gm10653	677044	ribsomal protein S2 pseudogene	chr9:62838786-62875917	pomc	nonpomc	OK	66.971	479.488	2.840	14.661	5.00E-05	8.69E-05	yes	7.160	Yes
Card10	Card10	Card10	105844	"caspase recruitment domain family, member 10"	chr15:78775135-78803042	pomc	nonpomc	OK	1.373	9.799	2.835	13.029	5.00E-05	8.69E-05	yes	7.136	Yes
Pcbd2	Pcbd2	Pcbd2	72562	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2	chr13:55727367-55776830	pomc	nonpomc	OK	7.653	54.526	2.833	8.874	5.00E-05	8.69E-05	yes	7.124	Yes
Cox5a	Cox5a	Cox5a	12858	cytochrome c oxidase subunit Va	chr9:57521231-57532426	pomc	nonpomc	OK	81.358	579.596	2.833	14.739	5.00E-05	8.69E-05	yes	7.124	Yes
Chmp1a	Chmp1a	Chmp1a	234852	charged multivesicular body protein 1A	chr8:123204260-123212788	pomc	nonpomc	OK	9.086	64.655	2.831	13.904	5.00E-05	8.69E-05	yes	7.116	Yes
BC003266	BC003266	BC003266	.	.	chr4:127243783-127247809	pomc	nonpomc	OK	8.719	62.027	2.831	12.175	5.00E-05	8.69E-05	yes	7.114	Yes
Nop10	Nop10	Nop10	66181	NOP10 ribonucleoprotein	chr2:112261968-112262898	pomc	nonpomc	OK	19.939	141.096	2.823	11.156	5.00E-05	8.69E-05	yes	7.076	Yes
Nme2	Nme2	Nme2	18103	NME/NM23 nucleoside diphosphate kinase 2	chr11:93949814-93956007	pomc	nonpomc	OK	49.810	351.896	2.821	13.993	5.00E-05	8.69E-05	yes	7.065	Yes
Krt17	Krt17	Krt17	16667	keratin 17	chr11:100256216-100260989	pomc	nonpomc	OK	0.123	0.869	2.820	2.875	5.00E-05	8.69E-05	yes	7.059	Yes
2010001M06Rik	2010001M06Rik	2010001M06Rik	.	.	chr5:135009151-135013157	pomc	nonpomc	OK	1.426	10.066	2.819	2.661	1.50E-04	2.52E-04	yes	7.058	Yes
Lage3	Lage3	Lage3	66192	"L antigen family, member 3"	chrX:74352161-74353618	pomc	nonpomc	OK	3.989	28.056	2.814	8.025	5.00E-05	8.69E-05	yes	7.033	Yes
Psmg3	Psmg3	Psmg3	66506	"proteasome (prosome, macropain) assembly chaperone 3"	chr5:139823593-139826843	pomc	nonpomc	OK	4.214	29.560	2.810	9.080	5.00E-05	8.69E-05	yes	7.015	Yes
Mir682	Mir682	Mir682	751556	microRNA 682	chr13:75645045-75645141	pomc	nonpomc	OK	2408.860	16891.100	2.810	10.505	5.00E-05	8.69E-05	yes	7.012	Yes
Cdk2ap2	Cdk2ap2	Cdk2ap2	52004	CDK2-associated protein 2	chr19:4097350-4099017	pomc	nonpomc	OK	4.847	33.934	2.808	10.332	5.00E-05	8.69E-05	yes	7.001	Yes
Gar1	Gar1	Gar1	68147	GAR1 ribonucleoprotein	chr3:129824911-129831396	pomc	nonpomc	OK	3.122	21.847	2.807	10.473	5.00E-05	8.69E-05	yes	6.998	Yes
Metrn	Metrn	Metrn	70083	"meteorin, glial cell differentiation regulator"	chr17:25794570-25797045	pomc	nonpomc	OK	7.127	49.797	2.805	13.327	5.00E-05	8.69E-05	yes	6.987	Yes
Cldn14	Cldn14	Cldn14	56173	claudin 14	chr16:93919030-94008837	pomc	nonpomc	OK	0.178	1.244	2.803	3.268	5.00E-05	8.69E-05	yes	6.977	Yes
Txn1	Txn1	Txn1	22166	thioredoxin 1	chr4:57943372-57956411	pomc	nonpomc	OK	18.364	128.013	2.801	12.509	5.00E-05	8.69E-05	yes	6.971	Yes
Mgst3	Mgst3	Mgst3	66447	microsomal glutathione S-transferase 3	chr1:167372383-167393797	pomc	nonpomc	OK	18.836	131.206	2.800	11.721	5.00E-05	8.69E-05	yes	6.966	Yes
Snhg6	Snhg6	Snhg6	73824	small nucleolar RNA host gene 6	chr1:9942024-9944118	pomc	nonpomc	OK	5.559	38.721	2.800	3.875	5.00E-05	8.69E-05	yes	6.965	Yes
Cox7a2	Cox7a2	Cox7a2	12866	cytochrome c oxidase subunit VIIa 2	chr9:79755240-79759853	pomc	nonpomc	OK	56.074	386.315	2.784	14.047	5.00E-05	8.69E-05	yes	6.889	Yes
Ndufb8	Ndufb8	Ndufb8	67264	NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8	chr19:44550253-44555415	pomc	nonpomc	OK	76.908	528.549	2.781	14.700	5.00E-05	8.69E-05	yes	6.873	Yes
Dusp2	Dusp2	Dusp2	13537	dual specificity phosphatase 2	chr2:127336158-127338377	pomc	nonpomc	OK	0.132	0.910	2.780	3.261	5.00E-05	8.69E-05	yes	6.870	Yes
Zswim7	Zswim7	Zswim7	69747	zinc finger SWIM-type containing 7	chr11:62267223-62281395	pomc	nonpomc	OK	3.309	22.605	2.772	7.635	5.00E-05	8.69E-05	yes	6.831	Yes
Zfp771	Zfp771	Zfp771	244216	zinc finger protein 771	chr7:127244525-127254801	pomc	nonpomc	OK	7.175	48.885	2.768	14.539	5.00E-05	8.69E-05	yes	6.813	Yes
Nrn1l	Nrn1l	Nrn1l	234700	neuritin 1-like	chr8:105893569-105895015	pomc	nonpomc	OK	0.602	4.075	2.760	3.637	5.00E-05	8.69E-05	yes	6.774	Yes
Pts	Pts	Pts	19286	6-pyruvoyl-tetrahydropterin synthase	chr9:50521616-50528641	pomc	nonpomc	OK	7.384	50.018	2.760	9.893	5.00E-05	8.69E-05	yes	6.773	Yes
Zar1	Zar1	Zar1	317755	zygote arrest 1	chr5:72577113-72581084	pomc	nonpomc	OK	0.563	3.810	2.760	6.461	5.00E-05	8.69E-05	yes	6.772	Yes
Nedd8	Nedd8	Nedd8	18002	"neural precursor cell expressed, developmentally down-regulated gene 8"	chr14:55662266-55671906	pomc	nonpomc	OK	53.830	364.454	2.759	13.848	5.00E-05	8.69E-05	yes	6.770	Yes
Ddit4	Ddit4	Ddit4	74747	DNA-damage-inducible transcript 4	chr10:59949674-59951770	pomc	nonpomc	OK	4.997	33.805	2.758	11.923	5.00E-05	8.69E-05	yes	6.764	Yes
Nudt10	Nudt10	Nudt10	102954	nudix (nucleoside diphosphate linked moiety X)-type motif 10	chrX:6168695-6172991	pomc	nonpomc	OK	7.062	47.621	2.753	12.953	5.00E-05	8.69E-05	yes	6.743	Yes
1700037H04Rik	1700037H04Rik	1700037H04Rik	67326	RIKEN cDNA 1700037H04 gene	chr2:131127411-131604824	pomc	nonpomc	OK	24.221	163.088	2.751	6.315	5.00E-05	8.69E-05	yes	6.733	Yes
0610009B22Rik	0610009B22Rik	0610009B22Rik	66050	RIKEN cDNA 0610009B22 gene	chr11:51685384-51688634	pomc	nonpomc	OK	8.417	56.449	2.746	8.936	5.00E-05	8.69E-05	yes	6.707	Yes
Ap2s1	Ap2s1	Ap2s1	232910	"adaptor-related protein complex 2, sigma 1 subunit"	chr7:16738443-16749290	pomc	nonpomc	OK	53.386	357.861	2.745	14.257	5.00E-05	8.69E-05	yes	6.703	Yes
Cdh15	Cdh15	Cdh15	12555	cadherin 15	chr8:122848373-122867397	pomc	nonpomc	OK	0.269	1.802	2.743	6.059	5.00E-05	8.69E-05	yes	6.693	Yes
Hnrnpa0	Hnrnpa0	Hnrnpa0	77134	heterogeneous nuclear ribonucleoprotein A0	chr13:58125878-58128556	pomc	nonpomc	OK	21.358	142.927	2.742	16.491	5.00E-05	8.69E-05	yes	6.692	Yes
H2afz	H2afz	H2afz	51788	"H2A histone family, member Z"	chr3:137864598-137866922	pomc	nonpomc	OK	43.571	291.452	2.742	13.806	5.00E-05	8.69E-05	yes	6.689	Yes
Cib2	Cib2	Cib2	56506	calcium and integrin binding family member 2	chr9:54545351-54560079	pomc	nonpomc	OK	15.242	101.868	2.741	11.752	5.00E-05	8.69E-05	yes	6.683	Yes
AF251705	AF251705	AF251705	.	.	chr11:114996768-115001880	pomc	nonpomc	OK	0.156	1.045	2.739	2.487	3.50E-04	5.71E-04	yes	6.675	Yes
Ndufb2	Ndufb2	Ndufb2	68198	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2"	chr6:39592582-39599471	pomc	nonpomc	OK	59.791	398.509	2.737	13.211	5.00E-05	8.69E-05	yes	6.665	Yes
Lor	Lor	Lor	16939	loricrin	chr3:92080270-92083142	pomc	nonpomc	OK	4.665	31.070	2.735	14.250	5.00E-05	8.69E-05	yes	6.660	Yes
Rab25	Rab25	Rab25	53868	"RAB25, member RAS oncogene family"	chr3:88542028-88548279	pomc	nonpomc	OK	0.079	0.529	2.735	1.708	1.42E-02	1.96E-02	yes	6.657	Yes
Nme3	Nme3	Nme3	79059	NME/NM23 nucleoside diphosphate kinase 3	chr17:24896499-24936977	pomc	nonpomc	OK	12.831	85.369	2.734	2.078	2.40E-03	3.62E-03	yes	6.653	Yes
S100a3	S100a3	S100a3	20197	S100 calcium binding protein A3	chr3:90600214-90602702	pomc	nonpomc	OK	0.103	0.685	2.733	1.712	2.12E-02	2.87E-02	yes	6.650	Yes
Agmat	Agmat	Agmat	75986	agmatine ureohydrolase (agmatinase)	chr4:141746674-141759263	pomc	nonpomc	OK	0.114	0.761	2.733	2.676	5.50E-04	8.83E-04	yes	6.649	Yes
Tomm22	Tomm22	Tomm22	223696	translocase of outer mitochondrial membrane 22 homolog (yeast)	chr15:79670867-79672862	pomc	nonpomc	OK	21.398	142.165	2.732	13.031	5.00E-05	8.69E-05	yes	6.644	Yes
2410015M20Rik	2410015M20Rik	2410015M20Rik	224904	RIKEN cDNA 2410015M20 gene	chr17:56607451-56609771	pomc	nonpomc	OK	18.373	121.841	2.729	12.319	5.00E-05	8.69E-05	yes	6.631	Yes
Fbll1	Fbll1	Fbll1	237730	fibrillarin-like 1	chr11:35797379-35798884	pomc	nonpomc	OK	11.037	73.025	2.726	14.978	5.00E-05	8.69E-05	yes	6.616	Yes
Ltb	Ltb	Ltb	16994	lymphotoxin B	chr17:35194506-35196305	pomc	nonpomc	OK	0.126	0.830	2.725	2.801	7.00E-04	1.11E-03	yes	6.613	Yes
2700090O03Rik	2700090O03Rik	2700090O03Rik	.	.	chr8:33731913-33777173	pomc	nonpomc	OK	5.469	36.162	2.725	4.303	5.00E-05	8.69E-05	yes	6.613	Yes
Ddt	Ddt	Ddt	13202	D-dopachrome tautomerase	chr10:75771232-75773374	pomc	nonpomc	OK	19.749	130.521	2.724	11.645	5.00E-05	8.69E-05	yes	6.609	Yes
Tyrobp	Tyrobp	Tyrobp	22177	TYRO protein tyrosine kinase binding protein	chr7:30413787-30417579	pomc	nonpomc	OK	1.970	13.001	2.722	4.807	5.00E-05	8.69E-05	yes	6.598	Yes
1810046J19Rik	1810046J19Rik	1810046J19Rik	.	.	chr11:98412483-98438988	pomc	nonpomc	OK	18.344	120.971	2.721	10.784	5.00E-05	8.69E-05	yes	6.594	Yes
2210013O21Rik	2210013O21Rik	2210013O21Rik	70123	RIKEN cDNA 2210013O21 gene	chrX:153723553-153741296	pomc	nonpomc	OK	21.710	143.066	2.720	12.555	5.00E-05	8.69E-05	yes	6.590	Yes
Il25	Il25	Il25	140806	interleukin 25	chr14:54932694-54935836	pomc	nonpomc	OK	0.109	0.718	2.718	2.290	9.50E-04	1.49E-03	yes	6.578	Yes
AI837181	AI837181	AI837181	107242	expressed sequence AI837181	chr19:5425143-5427316	pomc	nonpomc	OK	8.389	55.001	2.713	12.934	5.00E-05	8.69E-05	yes	6.557	Yes
Cdkn1a	Cdkn1a	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	chr17:29090985-29100722	pomc	nonpomc	OK	1.494	9.777	2.711	8.307	5.00E-05	8.69E-05	yes	6.546	Yes
Dctn3	Dctn3	Dctn3	53598	dynactin 3	chr4:41714797-41723163	pomc	nonpomc	OK	21.898	143.084	2.708	13.397	5.00E-05	8.69E-05	yes	6.534	Yes
Gemin7	Gemin7	Gemin7	69731	gem (nuclear organelle) associated protein 7	chr7:19564948-19573343	pomc	nonpomc	OK	9.627	62.886	2.708	10.380	5.00E-05	8.69E-05	yes	6.532	Yes
Sult2b1	Sult2b1	Sult2b1	54200	"sulfotransferase family, cytosolic, 2B, member 1"	chr7:45729982-45759555	pomc	nonpomc	OK	0.652	4.241	2.701	4.791	5.00E-05	8.69E-05	yes	6.503	Yes
Romo1	Romo1	Romo1	67067	reactive oxygen species modulator 1	chr2:156123636-156145794	pomc	nonpomc	OK	43.674	283.094	2.696	7.497	5.00E-05	8.69E-05	yes	6.482	Yes
Prr24	Prr24	Prr24	.	.	chr7:16272012-16273692	pomc	nonpomc	OK	8.147	52.793	2.696	13.778	5.00E-05	8.69E-05	yes	6.480	Yes
Atp5k	Atp5k	Atp5k	11958	"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E"	chr5:108433252-108434378	pomc	nonpomc	OK	176.556	1142.670	2.694	12.733	5.00E-05	8.69E-05	yes	6.472	Yes
Sec61g	Sec61g	Sec61g	20335	"SEC61, gamma subunit"	chr11:16501637-16508484	pomc	nonpomc	OK	17.999	115.939	2.687	11.850	5.00E-05	8.69E-05	yes	6.441	Yes
Cox6b1	Cox6b1	Cox6b1	110323	"cytochrome c oxidase, subunit VIb polypeptide 1"	chr7:30616973-30626151	pomc	nonpomc	OK	135.657	871.893	2.684	13.847	5.00E-05	8.69E-05	yes	6.427	Yes
Trem2	Trem2	Trem2	83433	triggering receptor expressed on myeloid cells 2	chr17:48346400-48352273	pomc	nonpomc	OK	0.432	2.779	2.684	4.293	5.00E-05	8.69E-05	yes	6.426	Yes
Tmem14a	Tmem14a	Tmem14a	75712	transmembrane protein 14A	chr1:21218630-21230167	pomc	nonpomc	OK	5.144	33.028	2.683	8.286	5.00E-05	8.69E-05	yes	6.421	Yes
Ndufb11	Ndufb11	Ndufb11	104130	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11"	chrX:20615325-20650905	pomc	nonpomc	OK	37.674	241.854	2.682	8.857	5.00E-05	8.69E-05	yes	6.420	Yes
Hes7	Hes7	Hes7	84653	hairy and enhancer of split 7 (Drosophila)	chr11:69120452-69123259	pomc	nonpomc	OK	0.213	1.368	2.681	3.470	5.00E-05	8.69E-05	yes	6.413	Yes
4930547N16Rik	4930547N16Rik	4930547N16Rik	.	.	chr10:88091071-88146941	pomc	nonpomc	OK	15.513	99.454	2.681	6.994	5.00E-05	8.69E-05	yes	6.411	Yes
Gnrh1	Gnrh1	Gnrh1	14714	gonadotropin releasing hormone 1	chr14:67745228-67749436	pomc	nonpomc	OK	0.534	3.417	2.678	2.844	5.00E-05	8.69E-05	yes	6.399	Yes
Rhob	Rhob	Rhob	11852	ras homolog family member B	chr12:8497758-8499985	pomc	nonpomc	OK	31.563	200.744	2.669	14.789	5.00E-05	8.69E-05	yes	6.360	Yes
Tssc4	Tssc4	Tssc4	56844	tumor-suppressing subchromosomal transferable fragment 4	chr7:143069367-143071087	pomc	nonpomc	OK	5.161	32.763	2.666	10.308	5.00E-05	8.69E-05	yes	6.348	Yes
Dnalc4	Dnalc4	Dnalc4	.	.	chr15:79761448-79774467	pomc	nonpomc	OK	6.717	42.617	2.666	12.469	5.00E-05	8.69E-05	yes	6.345	Yes
Myeov2	Myeov2	Myeov2	66915	myeloma overexpressed 2	chr1:92637144-92641985	pomc	nonpomc	OK	45.028	284.862	2.661	11.462	5.00E-05	8.69E-05	yes	6.326	Yes
Cela1	Cela1	Cela1	109901	"chymotrypsin-like elastase family, member 1"	chr15:100674421-100687920	pomc	nonpomc	OK	0.406	2.569	2.661	3.865	5.00E-05	8.69E-05	yes	6.323	Yes
Fdx1	Fdx1	Fdx1	14148	ferredoxin 1	chr9:51943306-51963533	pomc	nonpomc	OK	4.807	30.381	2.660	8.976	5.00E-05	8.69E-05	yes	6.320	Yes
Trappc2l	Trappc2l	Trappc2l	59005	trafficking protein particle complex 2-like	chr8:122611625-122615591	pomc	nonpomc	OK	32.634	204.809	2.650	12.866	5.00E-05	8.69E-05	yes	6.276	Yes
Lefty1	Lefty1	Lefty1	13590	left right determination factor 1	chr1:180935038-180938401	pomc	nonpomc	OK	0.164	1.026	2.649	3.572	5.00E-05	8.69E-05	yes	6.272	Yes
Thap11	Thap11	Thap11	59016	THAP domain containing 11	chr8:105855102-105856950	pomc	nonpomc	OK	5.007	31.359	2.647	12.062	5.00E-05	8.69E-05	yes	6.263	Yes
Usmg5	Usmg5	Usmg5	66477	upregulated during skeletal muscle growth 5	chr19:47067747-47090625	pomc	nonpomc	OK	176.734	1105.760	2.645	10.539	5.00E-05	8.69E-05	yes	6.257	Yes
Fbxl15	Fbxl15	Fbxl15	68431	F-box and leucine-rich repeat protein 15	chr19:46328183-46338660	pomc	nonpomc	OK	3.339	20.856	2.643	4.564	5.00E-05	8.69E-05	yes	6.247	Yes
Exosc6	Exosc6	Exosc6	72544	exosome component 6	chr8:111033966-111057599	pomc	nonpomc	OK	2.195	13.704	2.642	3.069	2.00E-04	3.33E-04	yes	6.243	Yes
Bet1l	Bet1l	Bet1l	54399	Bet1 golgi vesicular membrane trafficking protein like	chr7:140853383-140856383	pomc	nonpomc	OK	3.436	21.371	2.637	9.631	5.00E-05	8.69E-05	yes	6.221	Yes
Atf5	Atf5	Atf5	107503	activating transcription factor 5	chr7:44812255-44849079	pomc	nonpomc	OK	2.808	17.433	2.634	5.338	5.00E-05	8.69E-05	yes	6.209	Yes
Fam108a	Fam108a	Fam108a	.	.	chr10:80583648-80590341	pomc	nonpomc	OK	14.185	87.971	2.633	14.880	5.00E-05	8.69E-05	yes	6.202	Yes
1700028J19Rik	1700028J19Rik	1700028J19Rik	70004	RIKEN cDNA 1700028J19 gene	chr7:44229929-44236122	pomc	nonpomc	OK	0.130	0.806	2.632	2.111	3.50E-03	5.18E-03	yes	6.198	Yes
Lsm4	Lsm4	Lsm4	50783	"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"	chr8:70673230-70678752	pomc	nonpomc	OK	12.396	76.770	2.631	12.204	5.00E-05	8.69E-05	yes	6.193	Yes
Tmem223	Tmem223	Tmem223	66836	transmembrane protein 223	chr19:8770995-8772475	pomc	nonpomc	OK	9.821	60.775	2.630	9.405	5.00E-05	8.69E-05	yes	6.188	Yes
Map1lc3a	Map1lc3a	Map1lc3a	66734	microtubule-associated protein 1 light chain 3 alpha	chr2:155276363-155278073	pomc	nonpomc	OK	42.073	260.037	2.628	15.057	5.00E-05	8.69E-05	yes	6.181	Yes
1700024G13Rik	1700024G13Rik	1700024G13Rik	67085	RIKEN cDNA 1700024G13 gene	chr14:32376501-32388373	pomc	nonpomc	OK	0.559	3.453	2.627	2.523	3.60E-03	5.33E-03	yes	6.176	Yes
Olig1	Olig1	Olig1	50914	oligodendrocyte transcription factor 1	chr16:91269768-91271939	pomc	nonpomc	OK	18.851	116.356	2.626	15.578	5.00E-05	8.69E-05	yes	6.172	Yes
Kazald1	Kazald1	Kazald1	107250	Kazal-type serine peptidase inhibitor domain 1	chr19:45076138-45079289	pomc	nonpomc	OK	1.204	7.430	2.625	7.112	5.00E-05	8.69E-05	yes	6.170	Yes
Fxyd6	Fxyd6	Fxyd6	59095	FXYD domain-containing ion transport regulator 6	chr9:45370184-45396159	pomc	nonpomc	OK	25.505	157.166	2.623	13.761	5.00E-05	8.69E-05	yes	6.162	Yes
Psmb9	Psmb9	Psmb9	16912	"proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)"	chr17:34182098-34187330	pomc	nonpomc	OK	0.581	3.570	2.619	3.849	5.00E-05	8.69E-05	yes	6.145	Yes
Susd3	Susd3	Susd3	66329	sushi domain containing 3	chr13:49230830-49248706	pomc	nonpomc	OK	0.128	0.784	2.615	2.167	3.29E-02	4.35E-02	yes	6.126	Yes
Pef1	Pef1	Pef1	67898	penta-EF hand domain containing 1	chr4:130107555-130128134	pomc	nonpomc	OK	14.435	88.327	2.613	12.974	5.00E-05	8.69E-05	yes	6.119	Yes
Fis1	Fis1	Fis1	66437	"fission, mitochondrial 1"	chr5:136953274-136966234	pomc	nonpomc	OK	57.520	351.800	2.613	13.316	5.00E-05	8.69E-05	yes	6.116	Yes
Trappc4	Trappc4	Trappc4	60409	trafficking protein particle complex 4	chr9:44403758-44407548	pomc	nonpomc	OK	16.422	100.360	2.611	12.193	5.00E-05	8.69E-05	yes	6.111	Yes
Cstb	Cstb	Cstb	13014	cystatin B	chr10:78425669-78427622	pomc	nonpomc	OK	14.938	91.217	2.610	9.976	5.00E-05	8.69E-05	yes	6.107	Yes
Apoc3	Apoc3	Apoc3	11814	apolipoprotein C-III	chr9:46233050-46235297	pomc	nonpomc	OK	0.562	3.428	2.610	2.707	5.50E-04	8.83E-04	yes	6.104	Yes
Drap1	Drap1	Drap1	66556	Dr1 associated protein 1 (negative cofactor 2 alpha)	chr19:5406873-5424916	pomc	nonpomc	OK	43.938	268.136	2.609	13.943	5.00E-05	8.69E-05	yes	6.103	Yes
Npm3	Npm3	Npm3	18150	nucleoplasmin 3	chr19:45747733-45749563	pomc	nonpomc	OK	1.446	8.820	2.608	5.517	5.00E-05	8.69E-05	yes	6.098	Yes
Gm6251	Gm6251	Gm6251	.	.	chr10:20148919-20281590	pomc	nonpomc	OK	103.410	630.133	2.607	8.819	5.00E-05	8.69E-05	yes	6.094	Yes
6330403K07Rik	6330403K07Rik	6330403K07Rik	103712	RIKEN cDNA 6330403K07 gene	chr11:71031940-71033617	pomc	nonpomc	OK	194.486	1184.800	2.607	11.970	5.00E-05	8.69E-05	yes	6.092	Yes
Ube2g2	Ube2g2	Ube2g2	22213	ubiquitin-conjugating enzyme E2G 2	chr10:77622320-77645990	pomc	nonpomc	OK	6.050	36.812	2.605	11.604	5.00E-05	8.69E-05	yes	6.085	Yes
1110008P14Rik	1110008P14Rik	1110008P14Rik	73737	RIKEN cDNA 1110008P14 gene	chr2:32379100-32381915	pomc	nonpomc	OK	17.634	107.002	2.601	12.099	5.00E-05	8.69E-05	yes	6.068	Yes
Emx1	Emx1	Emx1	13796	empty spiracles homeobox 1	chr6:85187930-85204463	pomc	nonpomc	OK	0.085	0.513	2.598	1.927	1.00E-03	1.57E-03	yes	6.056	Yes
Rac3	Rac3	Rac3	170758	RAS-related C3 botulinum substrate 3	chr11:120721467-120723969	pomc	nonpomc	OK	12.181	73.723	2.598	12.016	5.00E-05	8.69E-05	yes	6.052	Yes
Dazap2	Dazap2	Dazap2	23994	DAZ associated protein 2	chr15:100615661-100620761	pomc	nonpomc	OK	17.183	103.906	2.596	12.479	5.00E-05	8.69E-05	yes	6.047	Yes
Lmo1	Lmo1	Lmo1	109594	LIM domain only 1	chr7:109138571-109170308	pomc	nonpomc	OK	3.787	22.872	2.594	8.499	5.00E-05	8.69E-05	yes	6.040	Yes
Ccdc23	Ccdc23	Ccdc23	.	.	chr4:119195309-119201298	pomc	nonpomc	OK	4.708	28.389	2.592	8.278	5.00E-05	8.69E-05	yes	6.030	Yes
Cdkn2d	Cdkn2d	Cdkn2d	12581	"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"	chr9:21288463-21291209	pomc	nonpomc	OK	13.128	79.151	2.592	12.416	5.00E-05	8.69E-05	yes	6.029	Yes
Zmat5	Zmat5	Zmat5	67178	"zinc finger, matrin type 5"	chr11:4704677-4737666	pomc	nonpomc	OK	6.107	36.792	2.591	9.295	5.00E-05	8.69E-05	yes	6.025	Yes
Tceb2	Tceb2	Tceb2	67673	"transcription elongation factor B (SIII), polypeptide 2"	chr17:23803186-23829109	pomc	nonpomc	OK	112.149	675.594	2.591	2.622	1.00E-04	1.70E-04	yes	6.024	Yes
2700081L22Rik	2700081L22Rik	2700081L22Rik	.	.	chr4:52430283-52438964	pomc	nonpomc	OK	0.374	2.247	2.588	2.316	1.35E-03	2.09E-03	yes	6.012	Yes
1700008O03Rik	1700008O03Rik	1700008O03Rik	69349	RIKEN cDNA 1700008O03 gene	chr7:44360044-44375030	pomc	nonpomc	OK	0.662	3.977	2.586	4.327	5.00E-05	8.69E-05	yes	6.005	Yes
Aard	Aard	Aard	239435	alanine and arginine rich domain containing protein	chr15:52040106-52045722	pomc	nonpomc	OK	2.739	16.447	2.586	8.856	5.00E-05	8.69E-05	yes	6.004	Yes
Hcrt	Hcrt	Hcrt	15171	hypocretin	chr11:100761692-100762931	pomc	nonpomc	OK	80.964	485.076	2.583	13.536	5.00E-05	8.69E-05	yes	5.991	Yes
Bloc1s1	Bloc1s1	Bloc1s1	14533	"biogenesis of lysosomal organelles complex-1, subunit 1"	chr10:128919913-128923524	pomc	nonpomc	OK	20.716	123.849	2.580	10.827	5.00E-05	8.69E-05	yes	5.978	Yes
0610010K14Rik	0610010K14Rik	0610010K14Rik	104457	RIKEN cDNA 0610010K14 gene	chr11:70235203-70237914	pomc	nonpomc	OK	7.946	47.407	2.577	9.506	5.00E-05	8.69E-05	yes	5.966	Yes
Dexi	Dexi	Dexi	58239	dexamethasone-induced transcript	chr16:10530206-10543054	pomc	nonpomc	OK	7.302	43.486	2.574	12.734	5.00E-05	8.69E-05	yes	5.955	Yes
S100a4	S100a4	S100a4	20198	S100 calcium binding protein A4	chr3:90603769-90606045	pomc	nonpomc	OK	0.939	5.593	2.574	3.078	5.00E-05	8.69E-05	yes	5.955	Yes
Tmsb4x	Tmsb4x	Tmsb4x	19241	"thymosin, beta 4, X chromosome"	chrX:167207093-167209218	pomc	nonpomc	OK	242.018	1440.460	2.573	13.089	5.00E-05	8.69E-05	yes	5.952	Yes
